variable,source,block,missing_rate
AGECON4,female_respondent,demographics_social,0.8922
AGECON5,female_respondent,demographics_social,0.9472
AGECON6,female_respondent,demographics_social,0.9717
AGECON7,female_respondent,demographics_social,0.9869
AGECON8,female_respondent,demographics_social,0.9948
agebaby1,female_respondent,demographics_social,0.5072
FMARNO,female_respondent,partnership_marriage,0.0
MARDAT01,female_respondent,partnership_marriage,0.5414
MARDAT01_I,female_respondent,partnership_marriage,0.0
MARDAT02,female_respondent,partnership_marriage,0.9418
MARDAT02_I,female_respondent,partnership_marriage,0.0
MAREND01,female_respondent,partnership_marriage,0.867
MAREND01_I,female_respondent,partnership_marriage,0.0
MAREND02,female_respondent,partnership_marriage,0.9776
MAREND02_I,female_respondent,partnership_marriage,0.0
MARDIS01,female_respondent,partnership_marriage,0.867
MARDIS01_I,female_respondent,partnership_marriage,0.0
MARDIS02,female_respondent,partnership_marriage,0.9776
MARDIS02_I,female_respondent,partnership_marriage,0.0
FMAR1AGE,female_respondent,demographics_social,0.5414
FMAR1AGE_I,female_respondent,demographics_social,0.0
fmar2age,female_respondent,demographics_social,0.9418
AGEDISS1,female_respondent,demographics_social,0.867
AGEDISS1_I,female_respondent,demographics_social,0.0
AGEDD1,female_respondent,demographics_social,0.8822
AGEDD1_I,female_respondent,demographics_social,0.0
mar1diss,female_respondent,partnership_marriage,0.5414
mar1bir1,female_respondent,partnership_marriage,0.3965
mar1con1,female_respondent,partnership_marriage,0.3645
con1mar1,female_respondent,partnership_marriage,0.3645
b1premar,female_respondent,partnership_marriage,0.5072
COHAB1,female_respondent,partnership_marriage,0.4814
COHAB1_I,female_respondent,partnership_marriage,0.0
HADSEX,female_respondent,contraception_sexual,0.0
SEXONCE,female_respondent,contraception_sexual,0.1847
SEXONCE_I,female_respondent,contraception_sexual,0.0
sexmar,female_respondent,partnership_marriage,0.1847
sexunion,female_respondent,contraception_sexual,0.1847
LSEXDATE,female_respondent,contraception_sexual,0.1847
LSEXDATE_I,female_respondent,contraception_sexual,0.0
lsexrage,female_respondent,demographics_social,0.1847
lsexpreg,female_respondent,reproductive_timing,0.3251
sex3mo,female_respondent,contraception_sexual,0.1847
PARTS1YR,female_respondent,partnership_marriage,0.1847
PARTS1YR_I,female_respondent,partnership_marriage,0.0
PARTDUR1,female_respondent,partnership_marriage,0.1847
PARTDUR2,female_respondent,partnership_marriage,0.9105
PARTDUR3,female_respondent,partnership_marriage,0.956
PARTDUR1_I,female_respondent,partnership_marriage,0.0
PARTDUR2_I,female_respondent,partnership_marriage,0.0
PARTDUR3_I,female_respondent,partnership_marriage,0.0
RELATP1,female_respondent,partnership_marriage,0.3253
RELATP2,female_respondent,partnership_marriage,0.918
RELATP3,female_respondent,partnership_marriage,0.962
RELATP1_I,female_respondent,partnership_marriage,0.0
RELATP2_I,female_respondent,partnership_marriage,0.0
RELATP3_I,female_respondent,partnership_marriage,0.0
